id,telecode,name,pinyin,abbr,area_code,area_name,country_code,country_name,longitude,latitude,geo_source,geo_updated_at,created_at,updated_at
1,VAP,北京北,beijingbei,bjb,0357,北京,cn,中国,116.353464,39.944699,amap,2026-04-09 05:56:50.309696+00:00,2026-04-08 08:39:59.293728+00:00,2026-04-09 05:56:50.309696+00:00
2,BOP,北京东,beijingdong,bjd,0357,北京,cn,中国,116.484997,39.90253,amap,2026-04-09 05:56:51.093837+00:00,2026-04-08 08:39:59.295617+00:00,2026-04-09 05:56:51.093837+00:00
3,BJP,北京,beijing,bj,0357,北京,cn,中国,116.427354,39.90283,amap,2026-04-09 05:56:52.099034+00:00,2026-04-08 08:39:59.295895+00:00,2026-04-09 05:56:52.099034+00:00
4,VNP,北京南,beijingnan,bjn,0357,北京,cn,中国,116.378059,39.867679,amap,2026-04-09 05:56:53.097463+00:00,2026-04-08 08:39:59.296119+00:00,2026-04-09 05:56:53.097463+00:00
5,IPP,北京大兴,beijingdaxing,bjdx,0357,北京,cn,中国,116.328855,39.720335,amap,2026-04-09 05:56:54.110604+00:00,2026-04-08 08:39:59.296338+00:00,2026-04-09 05:56:54.110604+00:00
6,BXP,北京西,beijingxi,bjx,0357,北京,cn,中国,116.322033,39.894912,amap,2026-04-09 05:56:55.109404+00:00,2026-04-08 08:39:59.296669+00:00,2026-04-09 05:56:55.109404+00:00
7,IFP,北京朝阳,beijingchaoyang,bjcy,0357,北京,cn,中国,116.50841,39.944819,amap,2026-04-09 05:56:56.108629+00:00,2026-04-08 08:39:59.297001+00:00,2026-04-09 05:56:56.108629+00:00
8,BUI,北京通州,beijingtongzhou,bjtz,0357,北京,cn,中国,116.662446,39.897146,amap,2026-04-09 05:56:57.118880+00:00,2026-04-08 08:39:59.297294+00:00,2026-04-09 05:56:57.118880+00:00
9,LXI,礼贤,lixian,lx,0357,北京,cn,中国,116.437708,39.556234,amap,2026-04-09 05:56:58.116067+00:00,2026-04-08 08:39:59.297569+00:00,2026-04-09 05:56:58.116067+00:00
10,CUW,重庆北,chongqingbei,cqb,1717,重庆,cn,中国,106.619682,29.703747,amap,2026-04-09 05:56:59.113509+00:00,2026-04-08 08:39:59.297763+00:00,2026-04-09 05:56:59.113509+00:00
11,COE,重庆东,chongqingdong,cqd,1717,重庆,cn,中国,106.673014,29.484365,amap,2026-04-09 05:57:00.122726+00:00,2026-04-08 08:39:59.297921+00:00,2026-04-09 05:57:00.122726+00:00
12,CQW,重庆,chongqing,cq,1717,重庆,cn,中国,106.545124,29.549041,amap,2026-04-09 05:57:01.134857+00:00,2026-04-08 08:39:59.298078+00:00,2026-04-09 05:57:01.134857+00:00
13,CRW,重庆南,chongqingnan,cqn,1717,重庆,cn,中国,106.538942,29.49678,amap,2026-04-09 05:57:02.146838+00:00,2026-04-08 08:39:59.298240+00:00,2026-04-09 05:57:02.146838+00:00
14,CXW,重庆西,chongqingxi,cqx,1717,重庆,cn,中国,106.439385,29.500105,amap,2026-04-09 05:57:03.160318+00:00,2026-04-08 08:39:59.298390+00:00,2026-04-09 05:57:03.160318+00:00
15,LTU,练塘,liantang,lt,0712,上海,cn,中国,121.031857,30.99516,amap,2026-04-09 05:57:04.157828+00:00,2026-04-08 08:39:59.298542+00:00,2026-04-09 05:57:04.157828+00:00
16,SHH,上海,shanghai,sh,0712,上海,cn,中国,121.455768,31.24965,amap,2026-04-09 05:57:05.160129+00:00,2026-04-08 08:39:59.298695+00:00,2026-04-09 05:57:05.160129+00:00
17,SNH,上海南,shanghainan,shn,0712,上海,cn,中国,121.430041,31.154579,amap,2026-04-09 05:57:06.171932+00:00,2026-04-08 08:39:59.298941+00:00,2026-04-09 05:57:06.171932+00:00
