train_no,station_train_code,from_station_id,to_station_id,from_station,to_station,total_num,is_active,created_at,updated_at
24000000G10L,G1,4,18,北京南,上海虹桥,7,true,2026-04-08 08:45:26.000498+00:00,2026-04-23 01:08:29.026890+00:00
5l000000G250,G2,18,4,上海虹桥,北京南,7,true,2026-04-08 08:45:26.000498+00:00,2026-04-23 01:08:29.026890+00:00
24000000G320,G3,4,16,北京南,上海,5,true,2026-04-08 08:45:26.000498+00:00,2026-04-23 01:08:29.026890+00:00
55000000G400,G4,16,4,上海,北京南,5,true,2026-04-08 08:45:26.000498+00:00,2026-04-23 01:08:29.026890+00:00
24000000G520,G5,3,16,北京,上海,5,true,2026-04-08 08:45:26.000498+00:00,2026-04-23 01:08:29.026890+00:00
5k000000G600,G6,726,4,昆山南,北京南,6,true,2026-04-08 08:45:26.000498+00:00,2026-04-23 01:08:29.026890+00:00
24000000G710,G7,4,18,北京南,上海虹桥,5,true,2026-04-08 08:45:26.000498+00:00,2026-04-23 01:08:29.026890+00:00
5l000000G802,G8,18,4,上海虹桥,北京南,4,true,2026-04-08 08:45:26.000498+00:00,2026-04-23 01:08:29.026890+00:00
24000000G907,G9,4,18,北京南,上海虹桥,5,true,2026-04-08 08:45:26.000498+00:00,2026-04-23 01:08:29.026890+00:00
5l00000G1010,G10,18,4,上海虹桥,北京南,4,true,2026-04-08 08:45:26.000498+00:00,2026-04-23 01:08:29.026890+00:00
2400000G110Q,G11,4,18,北京南,上海虹桥,5,true,2026-04-08 08:45:26.000498+00:00,2026-04-23 01:08:29.026890+00:00
5l00000G1250,G12,18,4,上海虹桥,北京南,4,true,2026-04-08 08:45:26.000498+00:00,2026-04-23 01:08:29.026890+00:00
2400000G130E,G13,4,18,北京南,上海虹桥,4,true,2026-04-08 08:45:26.000498+00:00,2026-04-23 01:08:29.026890+00:00
5l00000G1450,G14,18,4,上海虹桥,北京南,4,true,2026-04-08 08:45:26.000498+00:00,2026-04-23 01:08:29.026890+00:00
2400000G1520,G15,4,18,北京南,上海虹桥,5,true,2026-04-08 08:45:26.000498+00:00,2026-04-23 01:08:29.026890+00:00
5500000G1610,G16,16,4,上海,北京南,5,true,2026-04-08 08:45:26.000498+00:00,2026-04-23 01:08:29.026890+00:00
2400000G1700,G17,4,16,北京南,上海,5,true,2026-04-08 08:45:26.000498+00:00,2026-04-23 01:08:29.026890+00:00
5500000G1802,G18,16,4,上海,北京南,5,true,2026-04-08 08:45:26.000498+00:00,2026-04-23 01:08:29.026890+00:00
2400000G190T,G19,4,18,北京南,上海虹桥,5,true,2026-04-08 08:45:26.000498+00:00,2026-04-23 01:08:29.026890+00:00
5l00000G2052,G20,18,4,上海虹桥,北京南,5,true,2026-04-08 08:45:26.000498+00:00,2026-04-23 01:08:29.026890+00:00
